segment	mapped_start	mapped_stop	0_x	0_y
M	525	571	1	1.0
M	533	573	1	1.0
M	535	559	1	1.0
M	543	592	1	1.0
M	553	617	1	1.0
M	558	620	1	1.0
M	584	645	1	1.0
M	586	715	1	1.0
M	594	838	1	1.0
M	595	717	1	1.0
M	597	766	1	1.0
M	602	663	1	1.0
M	603	657	1	1.0
M	604	644	1	1.0
M	606	709	1	1.0
M	609	723	1	1.0
M	617	679	1	1.0
M	621	742	1	1.0
M	623	767	1	1.0
M	625	804	1	1.0
M	635	684	1	1.0
M	652	743	1	1.0
M	668	762	1	1.0
M	672	695	1	1.0
M	687	818	1	1.0
M	739	802	1	1.0
M	743	813	1	1.0
M	746	871	1	1.0
M	749	776	1	1.0
M	753	783	1	1.0
M	756	784	1	1.0
M	759	816	1	1.0
M	760	817	1	1.0
M	766	802	1	1.0
M	792	814	1	1.0
M	796	849	1	1.0
M	816	912	1	1.0
M	838	969	1	1.0
M	914	958	1	1.0
NA	32	1168	1	1.0
NA	33	1200	1	1.0
NA	37	983	1	1.0
NA	38	158	1	1.0
NA	39	82	1	1.0
NA	39	91	1	1.0
NA	39	1352	1	1.0
NA	41	159	1	1.0
NA	41	1265	1	1.0
NA	42	1253	1	1.0
NA	43	66	1	1.0
NA	43	80	1	1.0
NA	43	1427	1	1.0
NA	44	95	1	1.0
NA	44	1075	1	1.0
NA	44	1225	1	1.0
NA	44	1245	1	1.0
NA	44	1259	1	1.0
NA	48	1046	1	1.0
NA	49	547	1	1.0
NA	49	1244	1	1.0
NA	50	1212	1	1.0
NA	50	1215	1	1.0
NA	50	1222	1	1.0
NA	50	1229	1	1.0
NA	50	1257	1	1.0
NA	51	1237	1	1.0
NA	52	1170	1	1.0
NA	53	629	1	1.0
NA	53	1169	1	1.0
NA	55	79	1	1.0
NA	55	118	1	1.0
NA	55	1145	1	1.0
NA	55	1195	1	1.0
NA	55	1210	1	1.0
NA	55	1225	1	1.0
NA	55	1226	1	1.0
NA	55	1301	1	1.0
NA	56	107	1	1.0
NA	56	1267	1	1.0
NA	56	1308	1	1.0
NA	56	1401	1	1.0
NA	57	876	1	1.0
NA	57	1182	1	1.0
NA	58	1170	1	1.0
NA	60	1171	1	1.0
NA	62	1131	1	1.0
NA	65	139	1	1.0
NA	67	1123	1	1.0
NA	68	1210	1	1.0
NA	69	238	1	1.0
NA	74	1173	1	1.0
NA	74	1218	1	1.0
NA	74	1237	1	1.0
NA	74	1245	1	1.0
NA	74	1310	1	1.0
NA	75	115	1	1.0
NA	75	1241	1	1.0
NA	76	1281	1	1.0
NA	76	1302	1	1.0
NA	77	1310	1	1.0
NA	77	1313	1	1.0
NA	78	116	1	1.0
NA	78	140	1	1.0
NA	78	1046	1	1.0
NA	78	1167	1	1.0
NA	78	1200	1	1.0
NA	78	1214	1	1.0
NA	78	1223	1	1.0
NA	78	1241	1	1.0
NA	78	1253	1	1.0
NA	78	1292	1	1.0
NA	78	1303	1	1.0
NA	78	1322	1	1.0
NA	78	1332	1	1.0
NA	78	1352	1	1.0
NA	79	163	1	1.0
NA	79	241	1	1.0
NA	79	260	1	1.0
NA	79	1123	1	1.0
NA	79	1152	1	1.0
NA	79	1196	1	1.0
NA	79	1335	1	1.0
NA	80	118	1	1.0
NA	80	1185	1	1.0
NA	80	1210	1	1.0
NA	80	1238	1	1.0
NA	80	1244	1	1.0
NA	80	1341	1	1.0
NA	81	1168	1	1.0
NA	82	254	1	1.0
NA	82	1191	1	1.0
NA	82	1264	1	1.0
NA	82	1271	1	1.0
NA	83	1334	1	1.0
NA	86	1249	1	1.0
NA	88	1291	1	1.0
NA	89	132	1	1.0
NA	89	133	1	1.0
NA	89	1275	1	1.0
NA	90	1199	1	1.0
NA	90	1226	1	1.0
NA	90	1244	1	1.0
NA	90	1246	1	1.0
NA	90	1317	1	1.0
NA	91	594	1	1.0
NA	91	1242	1	1.0
NA	92	911	1	1.0
NA	92	1189	1	1.0
NA	92	1249	1	1.0
NA	93	1297	1	1.0
NA	97	1263	1	1.0
NA	98	984	1	1.0
NA	98	1168	1	1.0
NA	98	1254	1	1.0
NA	105	1263	1	1.0
NA	106	1242	1	1.0
NA	106	1254	1	1.0
NA	107	142	1	1.0
NA	107	1258	1	1.0
NA	108	1088	1	1.0
NA	109	271	1	1.0
NA	109	1045	1	1.0
NA	109	1216	1	1.0
NA	109	1288	1	1.0
NA	109	1302	1	1.0
NA	111	1277	1	1.0
NA	112	1256	1	1.0
NA	112	1291	1	1.0
NA	113	1136	1	1.0
NA	113	1196	1	1.0
NA	113	1200	1	1.0
NA	114	1278	1	1.0
NA	116	747	1	1.0
NA	116	1075	1	1.0
NA	117	1056	1	1.0
NA	118	1211	1	1.0
NA	118	1245	1	1.0
NA	118	1288	1	1.0
NA	119	1180	1	1.0
NA	119	1276	1	1.0
NA	123	795	1	1.0
NA	124	1083	1	1.0
NA	124	1234	1	1.0
NA	124	1257	1	1.0
NA	126	1196	1	1.0
NA	129	1248	1	1.0
NA	130	175	1	1.0
NA	130	852	1	1.0
NA	130	1240	1	1.0
NA	131	1288	1	1.0
NA	132	1197	1	1.0
NA	132	1224	1	1.0
NA	132	1245	1	1.0
NA	136	820	1	1.0
NA	137	172	1	1.0
NA	138	1136	1	1.0
NA	138	1200	1	1.0
NA	138	1211	1	1.0
NA	138	1218	1	1.0
NA	138	1227	1	1.0
NA	138	1383	1	1.0
NA	139	1022	1	1.0
NA	139	1236	1	1.0
NA	139	1246	1	1.0
NA	140	1075	1	1.0
NA	140	1212	1	1.0
NA	141	656	1	1.0
NA	143	503	1	1.0
NA	147	192	1	1.0
NA	148	1121	1	1.0
NA	149	1289	1	1.0
NA	151	1293	1	1.0
NA	157	1303	1	1.0
NA	158	1237	1	1.0
NA	159	1180	1	1.0
NA	159	1259	1	1.0
NA	159	1307	1	1.0
NA	161	1167	1	1.0
NA	161	1253	1	1.0
NA	161	1322	1	1.0
NA	164	1288	1	1.0
NA	166	1245	1	1.0
NA	168	1067	1	1.0
NA	168	1095	1	1.0
NA	168	1173	1	1.0
NA	168	1301	1	1.0
NA	169	973	1	1.0
NA	169	1242	1	1.0
NA	171	1124	1	1.0
NA	171	1226	1	1.0
NA	171	1236	1	1.0
NA	171	1244	1	1.0
NA	171	1262	1	1.0
NA	171	1293	1	1.0
NA	172	1062	1	1.0
NA	172	1228	1	1.0
NA	173	1205	1	1.0
NA	174	1167	1	1.0
NA	174	1284	1	1.0
NA	174	1293	1	1.0
NA	175	1224	1	1.0
NA	176	1255	1	1.0
NA	177	1242	1	1.0
NA	177	1292	1	1.0
NA	178	1159	1	1.0
NA	179	1062	1	1.0
NA	179	1102	1	1.0
NA	179	1108	1	1.0
NA	179	1253	1	1.0
NA	180	1167	1	1.0
NA	180	1269	1	1.0
NA	181	1200	1	1.0
NA	181	1264	1	1.0
NA	187	1060	1	1.0
NA	187	1245	1	1.0
NA	188	1197	1	1.0
NA	188	1274	1	1.0
NA	189	1046	1	1.0
NA	189	1074	1	1.0
NA	189	1076	1	1.0
NA	189	1105	1	1.0
NA	189	1241	1	1.0
NA	189	1260	1	1.0
NA	189	1289	1	1.0
NA	189	1304	1	1.0
NA	189	1359	1	1.0
NA	190	684	1	1.0
NA	190	967	1	1.0
NA	190	1104	1	1.0
NA	190	1136	1	1.0
NA	190	1180	1	1.0
NA	190	1347	1	1.0
NA	191	1113	1	1.0
NA	191	1174	1	1.0
NA	191	1265	1	1.0
NA	192	956	1	1.0
NA	192	1029	1	1.0
NA	192	1101	1	1.0
NA	192	1117	1	1.0
NA	192	1167	1	1.0
NA	192	1201	1	1.0
NA	192	1241	1	1.0
NA	192	1253	1	1.0
NA	193	1041	1	1.0
NA	193	1152	1	1.0
NA	193	1311	1	1.0
NA	194	1137	1	1.0
NA	194	1303	1	1.0
NA	199	1245	1	1.0
NA	200	1052	1	1.0
NA	203	1211	1	1.0
NA	204	1160	1	1.0
NA	204	1305	1	1.0
NA	205	1009	1	1.0
NA	205	1200	1	1.0
NA	206	1088	1	1.0
NA	207	350	1	1.0
NA	207	604	1	1.0
NA	207	1175	1	1.0
NA	208	1044	1	1.0
NA	210	251	1	1.0
NA	212	1143	1	1.0
NA	213	1046	1	1.0
NA	213	1061	1	1.0
NA	213	1075	1	1.0
NA	213	1105	1	1.0
NA	213	1223	1	1.0
NA	213	1241	1	1.0
NA	213	1253	1	1.0
NA	214	248	1	1.0
NA	214	1173	1	1.0
NA	218	1182	1	1.0
NA	218	1255	1	1.0
NA	220	601	1	1.0
NA	220	1142	1	1.0
NA	222	1195	1	1.0
NA	222	1215	1	1.0
NA	222	1226	1	1.0
NA	222	1257	1	1.0
NA	223	1169	1	1.0
NA	223	1171	1	1.0
NA	223	1190	1	1.0
NA	223	1270	1	1.0
NA	229	1200	1	1.0
NA	230	1158	1	1.0
NA	234	272	1	1.0
NA	237	296	1	1.0
NA	238	1237	1	1.0
NA	239	1201	1	1.0
NA	239	1241	1	1.0
NA	240	1254	1	1.0
NA	241	968	1	1.0
NA	243	324	1	1.0
NA	243	1112	1	1.0
NA	244	1111	1	1.0
NA	245	341	1	1.0
NA	246	978	1	1.0
NA	248	803	1	1.0
NA	248	908	1	1.0
NA	249	755	1	1.0
NA	249	1094	1	1.0
NA	250	1096	1	1.0
NA	250	1200	1	1.0
NA	250	1218	1	1.0
NA	251	934	1	1.0
NA	251	1195	1	1.0
NA	256	1029	1	1.0
NA	257	1200	1	1.0
NA	257	1209	1	1.0
NA	257	1211	1	1.0
NA	258	1200	1	1.0
NA	262	1125	1	1.0
NA	262	1301	1	1.0
NA	266	306	1	1.0
NA	266	1094	1	1.0
NA	269	968	1	1.0
NA	269	1056	1	1.0
NA	269	1074	1	1.0
NA	269	1094	1	1.0
NA	269	1167	1	1.0
NA	269	1168	1	1.0
NA	270	753	1	1.0
NA	270	1064	1	1.0
NA	270	1158	1	1.0
NA	270	1179	1	1.0
NA	270	1200	1	1.0
NA	273	306	1	1.0
NA	273	1228	1	1.0
NA	275	1259	1	1.0
NA	276	1096	1	1.0
NA	278	1195	1	1.0
NA	279	391	1	1.0
NA	289	1030	1	1.0
NA	293	1143	1	1.0
NA	295	731	1	1.0
NA	295	1031	1	1.0
NA	296	971	1	1.0
NA	296	1124	1	1.0
NA	301	1105	1	1.0
NA	305	1145	1	1.0
NA	309	1173	1	1.0
NA	310	1040	1	1.0
NA	310	1059	1	1.0
NA	311	1242	1	1.0
NA	317	1037	1	1.0
NA	318	1082	1	1.0
NA	322	1074	1	1.0
NA	322	1101	1	1.0
NA	322	1168	1	1.0
NA	322	1189	1	1.0
NA	322	1241	1	1.0
NA	322	1291	1	1.0
NA	323	1027	1	1.0
NA	323	1237	1	1.0
NA	324	1042	1	1.0
NA	332	1055	1	1.0
NA	336	870	1	1.0
NA	337	791	1	1.0
NA	338	1048	1	1.0
NA	344	1286	1	1.0
NA	349	988	1	1.0
NA	349	1152	1	1.0
NA	349	1199	1	1.0
NA	350	988	1	1.0
NA	350	1040	1	1.0
NA	357	1091	1	1.0
NA	362	1161	1	1.0
NA	363	1030	1	1.0
NA	363	1161	1	1.0
NA	364	877	1	1.0
NA	364	1057	1	1.0
NA	367	1254	1	1.0
NA	368	949	1	1.0
NA	372	1304	1	1.0
NA	375	989	1	1.0
NA	380	1085	1	1.0
NA	381	1136	1	1.0
NA	388	1211	1	1.0
NA	390	1089	1	1.0
NA	390	1212	1	1.0
NA	391	1133	1	1.0
NA	393	891	1	1.0
NA	397	1236	1	1.0
NA	399	648	1	1.0
NA	401	427	1	1.0
NA	407	968	1	1.0
NA	408	1023	1	1.0
NA	421	1135	1	1.0
NA	421	1140	1	1.0
NA	421	1244	1	1.0
NA	422	1000	1	1.0
NA	432	532	1	1.0
NA	438	1253	1	1.0
NA	440	1380	1	1.0
NA	447	657	1	1.0
NA	448	987	1	1.0
NA	469	940	1	1.0
NA	479	696	1	1.0
NA	479	923	1	1.0
NA	480	923	1	1.0
NA	482	926	1	1.0
NA	503	587	1	1.0
NA	542	664	1	1.0
NA	549	729	1	1.0
NA	552	843	1	1.0
NA	597	1034	1	1.0
NA	601	785	1	1.0
NA	611	750	1	1.0
NA	635	761	1	1.0
NA	637	791	1	1.0
NA	641	734	1	1.0
NA	645	724	1	1.0
NA	645	751	1	1.0
NA	683	774	1	1.0
NA	692	830	1	1.0
NA	717	749	1	1.0
NA	722	756	1	1.0
NA	730	756	1	1.0
NA	731	777	1	1.0
NA	741	792	1	1.0
NA	748	781	1	1.0
NA	751	1064	1	1.0
NA	768	1025	1	1.0
NA	775	823	1	1.0
NA	790	950	1	1.0
NA	815	1429	1	1.0
NA	833	886	1	1.0
NA	846	933	1	1.0
NA	855	913	1	1.0
NA	888	972	1	1.0
NA	888	1101	1	1.0
NA	895	1194	1	1.0
NA	905	980	1	1.0
NA	949	983	1	1.0
NA	956	1086	1	1.0
NA	969	1255	1	1.0
NA	970	1292	1	1.0
NA	989	1065	1	1.0
NA	1034	1128	1	1.0
NA	1045	1117	1	1.0
NA	1053	1165	1	1.0
NA	1053	1261	1	1.0
NA	1065	1296	1	1.0
NA	1100	1124	1	1.0
NA	1103	1216	1	1.0
NA	1106	1199	1	1.0
NA	1112	1211	1	1.0
NA	1118	1141	1	1.0
NA	1129	1211	1	1.0
NA	1129	1245	1	1.0
NA	1135	1237	1	1.0
NA	1135	1245	1	1.0
NA	1137	1229	1	1.0
NA	1141	1238	1	1.0
NA	1142	1167	1	1.0
NA	1142	1168	1	1.0
NA	1142	1169	1	1.0
NA	1154	1202	1	1.0
NA	1157	1196	1	1.0
NA	1159	1244	1	1.0
NA	1166	1210	1	1.0
NA	1168	1224	1	1.0
NA	1177	1269	1	1.0
NA	1184	1209	1	1.0
NA	1189	1254	1	1.0
NA	1195	1227	1	1.0
NA	1195	1245	1	1.0
NA	1198	1253	1	1.0
NA	1209	1253	1	1.0
NA	1210	1237	1	1.0
NA	1210	1429	1	1.0
NA	1215	1237	1	1.0
NA	1222	1351	1	1.0
NA	1245	1379	1	1.0
NA	1252	1377	1	1.0
NA	1257	1299	1	1.0
NA	1281	1317	1	1.0
NA	1286	1322	1	1.0
NA	1286	1361	1	1.0
NA	1289	1380	1	1.0
NA	1297	1353	1	1.0
NA	1302	1326	1	1.0
NA	1322	1361	1	1.0
NA	1322	1362	1	1.0
NA	1329	1369	1	1.0
NA	1329	1377	1	1.0
NA	1331	1356	1	1.0
NA	1346	1374	1	1.0
NA	1346	1413	1	1.0
NA	1348	1377	1	1.0
NA	1351	1377	1	1.0
NA	1376	1402	1	1.0
NP	48	1185	1	1.0
NP	55	131	1	1.0
NP	57	1338	1	1.0
NP	74	98	1	1.0
NP	74	110	1	1.0
NP	74	175	1	1.0
NP	74	1366	1	1.0
NP	74	1397	1	1.0
NP	74	1441	1	1.0
NP	75	1278	1	1.0
NP	75	1406	1	1.0
NP	75	1424	1	1.0
NP	75	1433	1	1.0
NP	77	1160	1	1.0
NP	81	1344	1	1.0
NP	83	1352	1	1.0
NP	83	1430	1	1.0
NP	84	1235	1	1.0
NP	93	1295	1	1.0
NP	119	166	1	1.0
NP	122	1344	1	1.0
NP	135	165	1	1.0
NP	137	1191	1	1.0
NP	137	1344	1	1.0
NP	140	1352	1	1.0
NP	140	1525	1	1.0
NP	141	165	1	1.0
NP	141	247	1	1.0
NP	141	1355	1	1.0
NP	141	1381	1	1.0
NP	141	1506	1	1.0
NP	142	1313	1	1.0
NP	143	1368	1	1.0
NP	143	1498	1	1.0
NP	144	1333	1	1.0
NP	145	1343	1	1.0
NP	145	1351	1	1.0
NP	145	1367	1	1.0
NP	146	1325	1	1.0
NP	146	1338	1	1.0
NP	148	1343	1	1.0
NP	149	215	1	1.0
NP	150	1326	1	1.0
NP	154	1288	1	1.0
NP	154	1311	1	1.0
NP	154	1343	1	1.0
NP	155	1308	1	1.0
NP	155	1343	1	1.0
NP	155	1367	1	1.0
NP	160	1382	1	1.0
NP	161	1333	1	1.0
NP	161	1374	1	1.0
NP	163	1375	1	1.0
NP	164	1227	1	1.0
NP	165	234	1	1.0
NP	165	1273	1	1.0
NP	165	1291	1	1.0
NP	165	1295	1	1.0
NP	165	1304	1	1.0
NP	165	1365	1	1.0
NP	165	1373	1	1.0
NP	167	1346	1	1.0
NP	171	1278	1	1.0
NP	171	1289	1	1.0
NP	172	1289	1	1.0
NP	174	1294	1	1.0
NP	183	1348	1	1.0
NP	185	1235	1	1.0
NP	187	1307	1	1.0
NP	187	1325	1	1.0
NP	188	1320	1	1.0
NP	188	1335	1	1.0
NP	188	1356	1	1.0
NP	189	1383	1	1.0
NP	190	1293	1	1.0
NP	190	1368	1	1.0
NP	193	1297	1	1.0
NP	194	451	1	1.0
NP	194	1323	1	1.0
NP	194	1344	1	1.0
NP	197	909	1	1.0
NP	198	1368	1	1.0
NP	199	619	1	1.0
NP	200	1307	1	1.0
NP	202	1294	1	1.0
NP	202	1311	1	1.0
NP	202	1343	1	1.0
NP	202	1347	1	1.0
NP	202	1385	1	1.0
NP	203	1257	1	1.0
NP	204	1044	1	1.0
NP	204	1297	1	1.0
NP	205	1166	1	1.0
NP	206	390	1	1.0
NP	208	1354	1	1.0
NP	210	1288	1	1.0
NP	210	1343	1	1.0
NP	211	1271	1	1.0
NP	211	1308	1	1.0
NP	213	262	1	1.0
NP	213	1210	1	1.0
NP	213	1295	1	1.0
NP	215	1348	1	1.0
NP	221	1344	1	1.0
NP	222	534	1	1.0
NP	222	1221	1	1.0
NP	222	1237	1	1.0
NP	224	276	1	1.0
NP	224	1344	1	1.0
NP	228	279	1	1.0
NP	228	1210	1	1.0
NP	229	358	1	1.0
NP	233	385	1	1.0
NP	233	1256	1	1.0
NP	233	1309	1	1.0
NP	234	283	1	1.0
NP	234	1189	1	1.0
NP	234	1224	1	1.0
NP	234	1353	1	1.0
NP	234	1384	1	1.0
NP	235	902	1	1.0
NP	235	1211	1	1.0
NP	235	1240	1	1.0
NP	235	1310	1	1.0
NP	236	1329	1	1.0
NP	237	274	1	1.0
NP	239	1289	1	1.0
NP	239	1293	1	1.0
NP	241	1377	1	1.0
NP	242	1236	1	1.0
NP	243	1235	1	1.0
NP	243	1355	1	1.0
NP	243	1432	1	1.0
NP	243	1487	1	1.0
NP	244	1326	1	1.0
NP	245	1169	1	1.0
NP	246	425	1	1.0
NP	246	637	1	1.0
NP	246	1189	1	1.0
NP	246	1223	1	1.0
NP	253	1343	1	1.0
NP	254	1385	1	1.0
NP	259	1235	1	1.0
NP	259	1239	1	1.0
NP	259	1277	1	1.0
NP	259	1290	1	1.0
NP	260	1204	1	1.0
NP	260	1270	1	1.0
NP	261	1514	1	1.0
NP	262	1173	1	1.0
NP	262	1265	1	1.0
NP	263	944	1	1.0
NP	263	1391	1	1.0
NP	264	1365	1	1.0
NP	267	1248	1	1.0
NP	267	1313	1	1.0
NP	267	1390	1	1.0
NP	269	1211	1	1.0
NP	270	390	1	1.0
NP	270	1195	1	1.0
NP	274	1189	1	1.0
NP	276	1312	1	1.0
NP	276	1383	1	1.0
NP	278	1142	1	1.0
NP	278	1286	1	1.0
NP	279	1291	1	1.0
NP	282	336	1	1.0
NP	282	1154	1	1.0
NP	282	1200	1	1.0
NP	284	1224	1	1.0
NP	284	1247	1	1.0
NP	285	335	1	1.0
NP	285	1212	1	1.0
NP	286	1341	1	1.0
NP	287	1213	1	1.0
NP	288	1344	1	1.0
NP	289	1412	1	1.0
NP	291	1211	1	1.0
NP	292	1234	1	1.0
NP	295	1390	1	1.0
NP	298	1210	1	1.0
NP	305	648	1	1.0
NP	306	1353	1	1.0
NP	307	1241	1	1.0
NP	308	1313	1	1.0
NP	309	1229	1	1.0
NP	311	657	1	1.0
NP	314	1304	1	1.0
NP	318	1188	1	1.0
NP	319	1151	1	1.0
NP	320	1236	1	1.0
NP	327	1371	1	1.0
NP	327	1427	1	1.0
NP	330	1208	1	1.0
NP	330	1217	1	1.0
NP	330	1250	1	1.0
NP	333	1253	1	1.0
NP	336	1211	1	1.0
NP	339	988	1	1.0
NP	342	579	1	1.0
NP	343	1186	1	1.0
NP	349	1163	1	1.0
NP	350	1143	1	1.0
NP	353	427	1	1.0
NP	357	1210	1	1.0
NP	367	1194	1	1.0
NP	367	1353	1	1.0
NP	380	941	1	1.0
NP	380	1189	1	1.0
NP	385	1352	1	1.0
NP	388	1296	1	1.0
NP	391	1356	1	1.0
NP	393	1061	1	1.0
NP	400	1297	1	1.0
NP	406	442	1	1.0
NP	426	618	1	1.0
NP	429	1229	1	1.0
NP	430	1210	1	1.0
NP	431	1040	1	1.0
NP	436	1291	1	1.0
NP	440	487	1	1.0
NP	440	1157	1	1.0
NP	446	1212	1	1.0
NP	453	1238	1	1.0
NP	454	965	1	1.0
NP	454	1428	1	1.0
NP	455	1241	1	1.0
NP	466	1044	1	1.0
NP	475	941	1	1.0
NP	476	498	1	1.0
NP	476	1215	1	1.0
NP	477	1310	1	1.0
NP	478	1069	1	1.0
NP	484	584	1	1.0
NP	486	1275	1	1.0
NP	488	721	1	1.0
NP	497	1411	1	1.0
NP	501	1313	1	1.0
NP	509	1185	1	1.0
NP	518	1190	1	1.0
NP	520	893	1	1.0
NP	521	1341	1	1.0
NP	522	984	1	1.0
NP	524	682	1	1.0
NP	525	893	1	1.0
NP	526	1039	1	1.0
NP	526	1163	1	1.0
NP	527	853	1	1.0
NP	530	1304	1	1.0
NP	531	1219	1	1.0
NP	533	623	1	1.0
NP	535	635	1	1.0
NP	538	716	1	1.0
NP	543	1481	1	1.0
NP	546	841	1	1.0
NP	546	933	1	1.0
NP	547	620	1	1.0
NP	548	977	1	1.0
NP	550	594	1	1.0
NP	550	900	1	1.0
NP	550	1329	1	1.0
NP	553	1249	1	1.0
NP	557	1176	1	1.0
NP	559	918	1	1.0
NP	561	1183	1	1.0
NP	562	1447	1	1.0
NP	566	985	1	1.0
NP	578	1349	1	1.0
NP	583	1058	1	1.0
NP	597	1317	1	1.0
NP	608	688	1	1.0
NP	609	788	1	1.0
NP	616	1034	1	1.0
NP	617	676	1	1.0
NP	620	1041	1	1.0
NP	628	813	1	1.0
NP	636	763	1	1.0
NP	641	794	1	1.0
NP	651	770	1	1.0
NP	670	1519	1	1.0
NP	678	1194	1	1.0
NP	679	1010	1	1.0
NP	680	713	1	1.0
NP	685	756	1	1.0
NP	702	992	1	1.0
NP	706	1492	1	1.0
NP	707	864	1	1.0
NP	708	849	1	1.0
NP	710	779	1	1.0
NP	713	845	1	1.0
NP	716	887	1	1.0
NP	717	759	1	1.0
NP	726	828	1	1.0
NP	746	1031	1	1.0
NP	754	1295	1	1.0
NP	757	1179	1	1.0
NP	758	828	1	1.0
NP	762	911	1	1.0
NP	763	1398	1	1.0
NP	767	822	1	1.0
NP	768	854	1	1.0
NP	790	818	1	1.0
NP	796	1298	1	1.0
NP	850	1133	1	1.0
NP	894	954	1	1.0
NP	932	1173	1	1.0
NP	943	1034	1	1.0
NP	1000	1184	1	1.0
NP	1037	1063	1	1.0
NP	1061	1257	1	1.0
NP	1064	1500	1	1.0
NP	1074	1427	1	1.0
NP	1085	1148	1	1.0
NP	1115	1172	1	1.0
NP	1122	1144	1	1.0
NP	1125	1318	1	1.0
NP	1134	1223	1	1.0
NP	1182	1310	1	1.0
NP	1183	1210	1	1.0
NP	1188	1225	1	1.0
NP	1209	1270	1	1.0
NP	1223	1351	1	1.0
NP	1229	1356	1	1.0
NP	1247	1351	1	1.0
NP	1270	1308	1	1.0
NP	1272	1373	1	1.0
NP	1273	1401	1	1.0
NP	1276	1307	1	1.0
NP	1277	1373	1	1.0
NP	1286	1308	1	1.0
NP	1308	1368	1	1.0
NP	1323	1381	1	1.0
NP	1324	1367	1	1.0
NP	1327	1352	1	1.0
NP	1328	1374	1	1.0
NP	1337	1374	1	1.0
NP	1343	1365	1	1.0
NP	1343	1382	1	1.0
NP	1350	1431	1	1.0
NP	1381	1403	1	1.0
NP	1381	1433	1	1.0
NP	1399	1526	1	1.0
NS	37	60	1	1.0
NS	38	731	1	1.0
NS	39	702	1	1.0
NS	39	727	1	1.0
NS	39	736	1	1.0
NS	40	685	1	1.0
NS	41	78	1	1.0
NS	41	95	1	1.0
NS	41	378	1	1.0
NS	41	429	1	1.0
NS	41	701	1	1.0
NS	41	729	1	1.0
NS	41	750	1	1.0
NS	41	762	1	1.0
NS	41	775	1	1.0
NS	41	790	1	1.0
NS	42	75	1	1.0
NS	42	178	1	1.0
NS	42	732	1	1.0
NS	42	733	1	1.0
NS	43	415	1	1.0
NS	43	818	1	1.0
NS	48	598	1	1.0
NS	48	712	1	1.0
NS	49	74	1	1.0
NS	52	701	1	1.0
NS	52	743	1	1.0
NS	54	93	1	1.0
NS	54	114	1	1.0
NS	54	634	1	1.0
NS	55	705	1	1.0
NS	55	757	1	1.0
NS	55	760	1	1.0
NS	56	78	1	1.0
NS	56	189	1	1.0
NS	56	669	1	1.0
NS	56	681	1	1.0
NS	56	722	1	1.0
NS	56	740	1	1.0
NS	56	743	1	1.0
NS	56	752	1	1.0
NS	56	775	1	1.0
NS	56	777	1	1.0
NS	57	374	1	1.0
NS	58	82	1	1.0
NS	58	83	1	1.0
NS	58	269	1	1.0
NS	58	399	1	1.0
NS	58	497	1	1.0
NS	58	587	1	1.0
NS	58	591	1	1.0
NS	58	709	1	1.0
NS	58	747	1	1.0
NS	58	769	1	1.0
NS	59	102	1	1.0
NS	59	462	1	1.0
NS	59	468	1	1.0
NS	59	593	1	1.0
NS	59	678	1	1.0
NS	59	700	1	1.0
NS	59	736	1	1.0
NS	59	737	1	1.0
NS	59	753	1	1.0
NS	59	763	1	1.0
NS	60	607	1	1.0
NS	60	707	1	1.0
NS	60	777	1	1.0
NS	61	85	1	1.0
NS	61	660	1	1.0
NS	61	744	1	1.0
NS	61	760	1	1.0
NS	62	731	1	1.0
NS	63	88	1	1.0
NS	63	95	1	1.0
NS	63	189	1	1.0
NS	63	645	1	1.0
NS	63	651	1	1.0
NS	63	729	1	1.0
NS	63	740	1	1.0
NS	63	762	1	1.0
NS	64	94	1	1.0
NS	64	150	1	1.0
NS	64	574	1	1.0
NS	64	693	1	1.0
NS	64	770	1	1.0
NS	65	491	1	1.0
NS	68	781	1	1.0
NS	72	97	1	1.0
NS	72	102	1	1.0
NS	72	233	1	1.0
NS	72	416	1	1.0
NS	72	524	1	1.0
NS	72	682	1	1.0
NS	72	701	1	1.0
NS	72	726	1	1.0
NS	72	750	1	1.0
NS	72	775	1	1.0
NS	73	374	1	1.0
NS	73	544	1	1.0
NS	73	592	1	1.0
NS	73	735	1	1.0
NS	73	759	1	1.0
NS	73	770	1	1.0
NS	76	222	1	1.0
NS	76	727	1	1.0
NS	76	760	1	1.0
NS	77	107	1	1.0
NS	77	648	1	1.0
NS	77	686	1	1.0
NS	77	692	1	1.0
NS	77	693	1	1.0
NS	77	781	1	1.0
NS	78	109	1	1.0
NS	78	141	1	1.0
NS	78	222	1	1.0
NS	78	550	1	1.0
NS	78	595	1	1.0
NS	78	613	1	1.0
NS	78	621	1	1.0
NS	78	623	1	1.0
NS	78	676	1	1.0
NS	78	699	1	1.0
NS	78	702	1	1.0
NS	78	723	1	1.0
NS	78	728	1	1.0
NS	78	749	1	1.0
NS	78	763	1	1.0
NS	79	241	1	1.0
NS	79	539	1	1.0
NS	79	726	1	1.0
NS	79	731	1	1.0
NS	82	669	1	1.0
NS	82	726	1	1.0
NS	82	740	1	1.0
NS	82	766	1	1.0
NS	83	115	1	1.0
NS	85	742	1	1.0
NS	85	823	1	1.0
NS	86	702	1	1.0
NS	86	736	1	1.0
NS	87	739	1	1.0
NS	87	761	1	1.0
NS	88	692	1	1.0
NS	88	700	1	1.0
NS	88	711	1	1.0
NS	88	728	1	1.0
NS	88	732	1	1.0
